Nr Lochy;Rasa;Aktualny miot;Aktualna liczba potomstwa lochy oceniona przyżyciowo;Aktualny Blup ZWH;Miot dla max ZWH;Liczba potomstwa lochy ocenianych przyżyciowo dla MAX ZWH;Max ZWH;Blup przyr. dz. dla max liczby potom.;Blup % mięsa dla max liczby potom.;Blup dla liczby prosiąt urodzonych;Blup dla liczby prosiąt odchowanych;Max liczba potomstwa;ZWH dla max liczby potom.
24321074619;20;6;12;9.8376;5;11;10.0712;0.55;0.04;-0.31;-0.46;25;9.8894
26615044721;20;2;5;9.7552;2;5;9.9004;0.13;0.09;-0.48;-0.14;5;9.9004
06031055320;20;5;2;9.8916;4;2;9.9014;1.87;-1.34;-0.31;-0.66;2;9.9014
06118118818;20;9;5;9.8272;2;2;10.4562;0.48;-0.6;-0.29;-0.15;5;9.904
26618163821;20;2;4;9.914;1;2;10.5486;-0.09;-0.02;-0.27;-0.03;4;9.914
26618326621;20;2;2;9.723;1;2;9.9186;0.21;-0.1;-0.2;-0.19;2;9.9186
06118029819;20;7;2;9.3846;7;2;10.1438;1.1;0.35;-0.47;-0.75;4;9.9204
08024029318;20;9;4;9.9616;3;5;10.6042;1.14;-1.8;-0.08;-0.11;13;9.925
26618195320;20;5;3;9.949;4;3;9.9594;0.23;0.16;-0.34;-0.22;7;9.9272
26086059221;20;2;4;9.928;2;4;9.928;0.1;0.06;-0.19;-0.17;4;9.928
26618326521;20;2;3;9.8192;2;2;9.9738;-0.12;-0.03;-0.09;-0.04;3;9.9334
26615054719;20;6;8;9.8392;2;1;10.1032;-0.25;1.05;-0.42;-0.23;8;9.9358
28389000821;20;4;2;9.9374;4;2;9.9374;1.28;0.22;-0.5;-0.75;2;9.9374
08144065621;20;2;5;9.6382;1;5;9.945;0.64;-0.91;-0.28;-0.03;5;9.945
06379017921;20;2;4;9.612;1;4;9.9464;0.07;-0.02;-0.35;-0.01;4;9.9464
08144105520;20;2;6;9.8742;2;6;10.0922;-0.19;1.22;-0.43;-0.29;9;9.9504
06386003217;20;9;4;8.9636;2;5;9.9538;-0.3;1.92;-0.7;-0.37;5;9.9538
22750030121;20;2;12;9.9152;2;12;9.9576;0.14;-0.16;-0.21;-0.03;12;9.9576
26082015320;20;4;5;9.7912;2;6;9.9608;-0.24;0.43;-0.14;-0.06;6;9.9608
06031078619;20;5;7;9.9076;5;7;9.9642;1.22;1.34;-0.66;-1.01;7;9.9642
06118101221;20;2;1;9.912;2;1;9.9846;0.54;-0.52;-0.18;-0.07;1;9.9846
06011069421;20;2;1;9.987;2;1;9.987;1.03;-0.46;-0.36;-0.29;1;9.987
26269011820;20;3;6;9.8484;2;6;9.9948;0.0;0.29;-0.03;-0.11;6;9.9948
06031051920;20;5;7;9.7824;2;2;10.1518;1.04;0.24;-0.6;-0.43;10;9.9994
28626001420;20;6;1;9.5422;4;4;9.9998;0.26;0.79;-0.07;-0.42;4;9.9998
2521035919;40;5;2;7.3934;5;2;7.5046;0.16;0.39;-4.11;-4.42;2;7.5046
6520017619;40;7;4;8.09;1;3;9.2364;-0.9;1.14;-3.09;-3.7;10;7.8562
18973023220;40;5;1;8.0492;5;1;8.0492;-0.92;-0.92;-2.82;-2.56;1;8.0492
26623001720;40;4;2;8.2102;4;2;8.2102;-0.16;-0.81;-1.8;-3.09;2;8.2102
6520024918;40;7;5;8.1792;1;2;9.043;-0.34;0.13;-2.49;-2.99;8;8.2352
6520042319;40;7;2;8.0288;3;1;8.8424;-1.66;-3.11;-1.86;-1.27;2;8.2358
6517034219;40;6;4;8.3316;6;4;8.3514;-0.05;-0.28;-2.45;-2.74;4;8.3514
26623014120;40;4;2;8.431;4;2;8.431;-1.5;-0.33;-1.01;-2.32;2;8.431
6520007118;40;5;5;8.3762;2;1;9.0676;0.08;0.44;-2.51;-2.84;5;8.445
6520010819;40;4;7;8.4274;4;7;8.5198;-0.15;-0.24;-2.14;-2.43;7;8.5198
26623002320;40;3;2;8.5354;3;2;8.5354;0.24;0.39;-2.13;-2.86;2;8.5354
6520018619;40;6;6;8.49;4;5;8.6742;-0.13;0.56;-1.83;-2.76;12;8.5698
6520053921;40;2;6;8.6118;2;6;8.6562;0.62;-1.36;-1.81;-2.26;6;8.6562
8370015818;40;8;2;8.8482;7;4;9.352;-1.23;1.07;-1.28;-2.3;6;8.6796
8370028320;40;4;3;8.7074;4;3;8.7074;-0.77;1.03;-1.75;-2.28;3;8.7074
8370060020;40;3;3;8.5176;1;6;8.9768;-1.13;0.83;-1.5;-2.04;9;8.7348
6517038119;40;6;5;8.5734;5;4;9.0736;-0.58;-0.58;-2.13;-1.53;9;8.742
6524012721;40;2;1;8.036;1;1;8.7438;0.63;-0.07;-2.11;-2.42;1;8.7438
8371022020;40;3;1;8.687;3;1;8.759;0.73;0.1;-2.24;-2.45;1;8.759
12746006219;40;5;4;8.7266;5;4;8.7666;2.12;-0.55;-4.01;-2.22;4;8.7666
6527033220;40;3;2;8.6778;3;2;8.8028;0.19;-0.44;-1.94;-1.96;2;8.8028
