Nr Knura;Rasa;Liczba kojarzeń;Numer kolejnej oceny;Aktualna liczba potom.;Aktualna liczba kojarzeń;Aktualny Blup ZWH;Max liczba potom.;Liczba kojarzeń dla max liczby potom.;ZWH dla max liczby potom.;Liczba potom. dla max ZWH;Liczba kojarzeń dla max ZWH;Max ZWH
20244097418;20;8;37;3;2;9.3072;3;2;9.9542;2;1;10.2942
I1236/19;20;62;129;27;6;10.688;83;16;9.9649;26;5;10.7142
06224073220;20;96;55;2;2;10.0976;16;6;9.991;10;6;11.2934
06224025019;20;26;94;26;7;9.9919;26;7;9.9919;10;4;10.552
32168017117;20;35;48;40;8;10.052;40;8;10.053;7;1;10.2882
I466/20;20;20;84;5;1;9.9748;10;2;10.0624;10;2;10.0624
I4198643/20;20;47;70;3;2;9.916;28;8;10.0735;15;8;10.4188
20244077018;20;51;103;19;4;10.1739;46;17;10.0822;32;11;10.2563
26614034121;20;25;7;28;11;10.0884;28;11;10.1;28;11;10.1
I2562038/20;20;84;72;42;14;10.5567;119;31;10.1163;44;9;10.6016
32168009717;20;15;22;5;2;10.1236;5;2;10.1388;5;2;10.1388
02509072218;20;9;55;4;1;9.923;8;3;10.1662;2;1;10.3402
02509005721;20;29;42;21;7;10.161;21;7;10.1682;2;1;10.4908
06224047619;20;23;36;8;2;10.1466;8;2;10.2138;4;3;11.3012
